86,40,100,40,100,49,86,49
140,35,172,37,171,49,139,47
169,38,215,33,216,47,170,52
;90,56,128,56,128,66,90,66
130,58,153,58,153,69,130,69
154,57,181,57,181,66,154,66
182,58,202,58,202,66,182,66
202,53,232,55,231,68,202,66
232,54,248,54,248,66,232,66
249,57,268,57,268,66,249,66
;89,68,116,68,116,81,89,81
114,70,137,70,137,82,114,82
137,68,158,68,158,81,137,81
157,68,169,68,169,80,157,80
170,69,193,69,193,81,170,81
193,68,205,68,205,81,193,81
204,68,217,68,217,81,204,81
217,68,244,68,244,81,217,81
245,72,265,72,265,81,245,81
;90,84,132,84,132,94,90,94
133,85,141,85,141,97,133,97
141,84,154,84,154,94,141,94
153,85,176,85,176,97,153,97
177,85,197,85,197,94,177,94
196,85,236,80,238,96,198,100
237,82,270,82,270,96,237,96
;89,96,132,96,132,110,89,110
134,98,173,98,173,108,134,108
174,100,197,100,197,109,174,109
198,97,217,97,217,109,198,109
218,97,265,97,265,109,218,109
;89,110,113,110,113,122,89,122
120,110,128,110,128,122,120,122
130,110,138,110,138,121,130,121
140,114,153,114,153,122,140,122
154,112,185,112,185,122,154,122
185,110,202,110,202,122,185,122
204,113,234,113,234,122,204,122
236,114,248,114,248,124,236,124
248,110,272,110,272,124,248,124
;90,128,130,128,130,137,90,137
128,126,185,124,185,135,129,138
194,129,231,126,232,137,194,140
233,129,256,129,256,137,233,137
257,129,270,129,270,137,257,137
;89,138,108,138,108,150,89,150
112,137,153,137,153,150,112,150
158,141,181,141,181,153,158,153
181,138,202,138,202,150,181,150
204,138,220,138,220,152,204,152
221,142,272,142,272,152,221,152
;89,152,129,152,129,165,89,165
128,155,173,151,174,165,129,168
172,156,198,156,198,166,172,166
197,153,216,153,216,165,197,165
215,155,251,151,252,165,216,168
253,154,268,154,268,165,253,165
;92,169,122,169,122,178,92,178
125,170,156,170,156,180,125,180
157,168,202,164,203,178,158,183
206,168,217,168,217,180,206,180
220,166,256,166,256,180,220,180
;92,181,136,181,136,194,92,194
;106,194,153,194,153,210,106,210
156,197,198,192,199,206,157,211
204,194,252,194,252,208,204,208
258,198,272,198,272,206,258,206
;92,212,113,212,113,221,92,221
118,206,152,206,152,224,118,224
157,212,181,212,181,221,157,221
186,208,242,208,242,221,186,221
257,209,273,209,273,220,257,220
;92,226,112,226,112,234,92,234
110,224,156,224,156,234,110,234
156,221,172,221,172,234,156,234
173,221,225,221,225,237,173,237
234,221,271,223,270,236,234,234
;90,236,125,236,125,249,90,249
126,240,148,240,148,249,126,249
149,240,166,240,166,249,149,249
166,238,208,238,208,249,166,249
209,238,226,240,225,249,208,247
226,238,258,238,258,249,226,249
258,237,273,237,273,249,258,249
;92,248,130,251,129,266,91,262
129,250,145,250,145,262,129,262
145,250,162,250,162,262,145,262
162,250,188,250,188,262,162,262
186,252,212,252,212,262,186,262
218,253,273,250,273,262,218,265
;90,265,108,265,108,277,90,277
109,268,133,268,133,278,109,278
134,269,141,269,141,277,134,277
143,268,187,266,188,276,144,278
188,265,229,263,229,277,189,279
232,264,269,264,269,277,232,277
;93,281,109,281,109,290,93,290
110,280,173,280,173,290,110,290
177,282,198,282,198,292,177,292
202,280,228,280,228,290,202,290
232,280,273,280,273,292,232,292
;92,292,105,292,105,305,92,305
106,292,149,292,149,306,106,306
156,294,178,294,178,306,156,306
180,293,198,293,198,305,180,305
200,292,238,292,238,305,200,305
242,296,257,296,257,305,242,305
260,292,273,292,273,304,260,304
;93,308,122,308,122,318,93,318
122,306,138,306,138,318,122,318
140,308,172,308,172,318,140,318
170,306,189,306,189,318,170,318
189,306,238,306,238,318,189,318
240,305,273,307,273,320,239,318
;92,321,133,321,133,333,92,333
134,320,150,320,150,333,134,333
153,324,184,324,184,336,153,336
184,322,198,322,198,333,184,333
204,324,213,324,213,333,204,333
217,322,245,322,245,333,217,333
245,321,261,321,261,333,245,333
262,321,273,321,273,333,262,333
;94,336,140,336,140,346,94,346
138,337,168,337,168,346,138,346
176,333,200,333,200,346,176,346
204,338,224,338,224,349,204,349
226,336,238,336,238,346,226,346
241,334,273,334,273,348,241,348
;93,348,114,348,114,361,93,361
117,349,141,349,141,360,117,360
141,348,164,348,164,361,141,361
162,348,194,348,194,361,162,361
196,353,202,353,202,361,196,361
205,348,234,348,234,361,205,361
257,349,274,349,274,360,257,360
;94,364,129,364,129,374,94,374
128,366,161,366,161,376,128,376
164,366,177,366,177,376,164,376
178,361,218,361,218,378,178,378
218,362,236,362,236,374,218,374
237,364,265,364,265,374,237,374
;93,376,122,376,122,389,93,389
121,377,177,377,177,389,121,389
177,380,189,380,189,389,177,389
186,378,246,376,246,389,186,391
248,380,254,380,254,390,248,390
254,376,270,376,270,389,254,389
;245,397,274,397,274,408,245,408
;
